T,ag,F0,Tc
30,0.05653940850945077,2.3485987136377298,0.27886149176527836
50,0.07415218285947286,2.3228861132971814,0.3069816958804928
72,0.08927567537596369,2.3410693168972787,0.31971509021706485
101,0.10589301676992817,2.349092938600885,0.3307297825060457
140,0.1240774888033535,2.353843024453762,0.3396006358120969
201,0.1469890627012171,2.364094356604233,0.3499655335040853
475,0.2137746648876034,2.416100762659722,0.37221245796786245
975,0.2848294728633355,2.4366273534419842,0.3925071666404339
2475,0.3966638157311072,2.4892220212628953,0.4327551930258846
